id_cyc_unico,start_time,end_time,lat,lon,time,source,x_pix,y_pix,idorig
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.114,6.459,2011-11-08 20:00:00,CL7,427,93,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.161,6.401,2011-11-08 21:00:00,CL7,426,92,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.209,6.335,2011-11-08 22:00:00,CL7,424,91,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.248,6.287,2011-11-08 23:00:00,CL7,423,90,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.274,6.269,2011-11-09 00:00:00,CL7,423,90,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.296,6.26,2011-11-09 01:00:00,CL7,422,89,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.332,6.222,2011-11-09 02:00:00,CL7,421,88,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.38,6.145,2011-11-09 03:00:00,CL7,419,87,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.421,6.047,2011-11-09 04:00:00,CL7,417,86,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.445,5.936,2011-11-09 05:00:00,CL7,414,86,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.456,5.814,2011-11-09 06:00:00,CL7,411,86,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.475,5.675,2011-11-09 07:00:00,CL7,407,85,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.518,5.493,2011-11-09 08:00:00,CL7,403,84,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.588,5.256,2011-11-09 09:00:00,CL7,397,83,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.683,5.005,2011-11-09 10:00:00,CL7,390,81,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.801,4.788,2011-11-09 11:00:00,CL7,385,78,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.93,4.603,2011-11-09 12:00:00,CL7,380,75,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,43.068,4.427,2011-11-09 13:00:00,CL7,376,72,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,43.21,4.25,2011-11-09 14:00:00,CL7,372,69,1328
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.382,-6.662,2014-01-19 03:00:00,CL7,56,216,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.101,-5.815,2014-01-19 04:00:00,CL7,77,223,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.867,-5.05,2014-01-19 05:00:00,CL7,97,228,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.701,-4.367,2014-01-19 06:00:00,CL7,114,232,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.604,-3.741,2014-01-19 07:00:00,CL7,131,234,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.568,-3.135,2014-01-19 08:00:00,CL7,148,235,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.595,-2.516,2014-01-19 09:00:00,CL7,165,233,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.68,-1.884,2014-01-19 10:00:00,CL7,183,231,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.793,-1.25,2014-01-19 11:00:00,CL7,201,228,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,36.905,-0.626,2014-01-19 12:00:00,CL7,219,224,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.008,-0.016,2014-01-19 13:00:00,CL7,237,221,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.115,0.585,2014-01-19 14:00:00,CL7,254,218,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.242,1.177,2014-01-19 15:00:00,CL7,271,215,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.38,1.754,2014-01-19 16:00:00,CL7,288,211,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.496,2.306,2014-01-19 17:00:00,CL7,304,207,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.58,2.832,2014-01-19 18:00:00,CL7,319,205,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.661,3.35,2014-01-19 19:00:00,CL7,334,203,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.76,3.884,2014-01-19 20:00:00,CL7,349,200,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,37.875,4.438,2014-01-19 21:00:00,CL7,365,197,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,38.01,5.0,2014-01-19 22:00:00,CL7,381,193,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,38.162,5.564,2014-01-19 23:00:00,CL7,397,189,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,38.321,6.13,2014-01-20 00:00:00,CL7,413,185,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,38.481,6.687,2014-01-20 01:00:00,CL7,429,181,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,38.642,7.22,2014-01-20 02:00:00,CL7,444,177,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,38.808,7.721,2014-01-20 03:00:00,CL7,458,173,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,38.998,8.207,2014-01-20 04:00:00,CL7,471,168,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,39.259,8.688,2014-01-20 05:00:00,CL7,485,162,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,39.602,9.147,2014-01-20 06:00:00,CL7,498,153,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,39.965,9.536,2014-01-20 07:00:00,CL7,508,144,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,40.274,9.839,2014-01-20 08:00:00,CL7,517,137,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,40.514,10.096,2014-01-20 09:00:00,CL7,524,131,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,40.716,10.337,2014-01-20 10:00:00,CL7,530,126,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,40.911,10.563,2014-01-20 11:00:00,CL7,536,121,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.114,10.764,2014-01-20 12:00:00,CL7,541,117,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.324,10.924,2014-01-20 13:00:00,CL7,545,112,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.514,11.048,2014-01-20 14:00:00,CL7,549,107,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.654,11.159,2014-01-20 15:00:00,CL7,551,104,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.726,11.289,2014-01-20 16:00:00,CL7,555,102,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.746,11.459,2014-01-20 17:00:00,CL7,559,102,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.764,11.623,2014-01-20 18:00:00,CL7,564,101,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.814,11.715,2014-01-20 19:00:00,CL7,566,100,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.859,11.759,2014-01-20 20:00:00,CL7,567,99,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.871,11.843,2014-01-20 21:00:00,CL7,569,99,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.858,12.01,2014-01-20 22:00:00,CL7,574,99,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.803,12.181,2014-01-20 23:00:00,CL7,578,100,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.766,12.345,2014-01-21 00:00:00,CL7,583,101,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,41.921,12.699,2014-01-21 01:00:00,CL7,592,98,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,42.284,13.288,2014-01-21 02:00:00,CL7,607,90,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,42.645,13.855,2014-01-21 03:00:00,CL7,621,81,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,42.842,14.179,2014-01-21 04:00:00,CL7,629,77,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,42.866,14.271,2014-01-21 05:00:00,CL7,631,76,1430
7001430,2014-01-18 21:00:00,2014-01-22 09:00:00,42.813,14.284,2014-01-21 06:00:00,CL7,632,78,1430
